RPE Staff Size Details,,,,,,,,,,
Period:,Feb-20,,,,,,,,,
Report Date:,11-Feb-20,,,,,,,,,
Facility,Month,RPE Work Days (FTE),Facility Work Days,RPE as per PP (FTE),RPE/FacWDays,,,,,
AAG,Jan-19,1729,24,99,82,,,,,
AAG,Feb-19,2814,24,81,127,,,,,
AAG,Mar-19,2839,27,91,115,,,,,
AAG,Apr-19,1975,25,67,79,,,,,
AAG,May-19,1760,26,58,68,,,,,
AAG,Jun-19,1837,26,77,71,,,,,
AAG,Jul-19,1994,26,82,77,,,,,
ACE,Jan-19,2510,24,102,105,,,,,
ACE,Feb-19,2846,25,153,114,,,,,
ACE,Mar-19,2879,26,137,111,,,,,
ACE,Apr-19,2621,25,138,105,,,,,
ACE,May-19,2973,27,108,110,,,,,
ACE,Jun-19,2974,26,125,114,,,,,
ACE,Jul-19,3026,26,125,116,,,,,
AKS,Jan-19,3970,24,114,165,,,,,
AKS,Feb-19,4038,25,147,192,,,,,
AKS,Mar-19,4359,27,155,191,,,,,
AKS,Apr-19,4854,26,153,202,,,,,
AKS,May-19,6284,26,156,242,,,,,
AKS,Jun-19,6003,26,120,231,,,,,
AKS,Jul-19,6070,26,203,233,,,,,
ALD,Jan-19,2327,25,114,93,,,,,
ALD,Feb-19,2245,25,109,90,,,,,
ASP,Jan-19,4059,24,187,189,,,,,
ASP,Feb-19,4188,25,186,188,,,,,
ASP,Mar-19,4108,27,189,172,,,,,
ASP,Apr-19,3848,25,174,166,,,,,
ASP,May-19,3995,26,163,164,,,,,
ASP,Jun-19,3814,26,205,157,,,,,
ASP,Jul-19,3948,26,208,152,,,,,
GSH,Jan-19,1281,22,55,58,,,,,
GSH,Feb-19,1497,25,63,60,,,,,
GSH,Mar-19,1526,27,66,57,,,,,
GSH,Apr-19,2076,25,75,83,,,,,
GSH,May-19,2733,27,61,101,,,,,
GSH,Jun-19,2706,26,115,104,,,,,
GSH,Jul-19,3575,26,115,138,,,,,
WAP,Jan-19,6771,25,191,271,,,,,
WAP,Feb-19,6964,25,201,299,,,,,
WAP,Mar-19,10174,27,338,402,,,,,
WAP,Apr-19,8487,26,326,346,,,,,
WAP,May-19,9859,27,365,365,,,,,
WAP,Jun-19,9255,26,291,356,,,,,
WAP,Jul-19,9093,26,374,350,,,,,
AAG,Aug-19,2298,26,100,88,,,,,
ASP,Aug-19,4469,25,209,179,,,,,
ACE,Aug-19,2851,26,121,110,,,,,
AKS,Aug-19,5665,26,203,218,,,,,
WAP,Aug-19,8969,26,375,345,,,,,
GSH,Aug-19,3627,25,105,145,,,,,
AAG,Sep-19,1957,25,105,78,,,,,
ASP,Sep-19,4253,25,214,170,,,,,
ACE,Sep-19,2758,25,121,110,,,,,
AKS,Sep-19,5053,24,188,211,,,,,
WAP,Sep-19,8374,24,391,349,,,,,
GSH,Sep-19,4196,24,114,175,,,,,
AAG,Oct-19,2157,25,65,86,,,,,
ASP,Oct-19,4675,25,195,187,,,,,
ACE,Oct-19,2859,26,125,110,,,,,
AKS,Oct-19,5056,26,135,194,,,,,
WAP,Oct-19,8385,24,305,349,,,,,
GSH,Oct-19,4530,25,114,181,,,,,
AAG,Nov-19,2113,25,47,85,,,,,
ASP,Nov-19,4781,25,178,191,,,,,
ACE,Nov-19,2937,25,139,117,,,,,
AKS,Nov-19,5037,25,104,201,,,,,
WAP,Nov-19,6585,24,299,274,,,,,
GSH,Nov-19,3872,25,88,155,,,,,
AAG,Dec-19,2330,25,81,93,,,,,
ASP,Dec-19,4715,25,236,189,,,,,
ACE,Dec-19,3476,25,149,139,,,,,
AKS,Dec-19,4020,26,102,155,,,,,
WAP,Dec-19,6272,25,332,251,,,,,
GSH,Dec-19,3548,25,88,142,,,,,
AAG,Jan-20,2348,25,92,94,,,,,
ACE,Jan-20,3590,25,146,144,,,,,
AKS,Jan-20,3080,24,63,128,,,,,
ASP,Jan-20,4607,25,243,184,,,,,
WAP,Jan-20,5743,23,307,250,,,,,
GSH,Jan-20,3313,23,135,144,,,,,
AAG,Feb-20,2495,24,92,104,,,,,
ACE,Feb-20,3222,24,128,134,,,,,
AKS,Feb-20,3196,24,86,133,,,,,
ASP,Feb-20,4935,24,212,206,,,,,
WAP,Feb-20,5892,24,273,246,,,,,
GSH,Feb-20,2972,24,126,124,,,,,
